id,R_grid,z_grid,phi_grid,N_count
0,0.5,-1.25,-2.6179938,42.0
1,1.5,-1.25,-2.6179938,103.0
2,2.5,-1.25,-2.6179938,84.0
3,3.5,-1.25,-2.6179938,61.0
4,4.5,-1.25,-2.6179938,31.0
5,5.5,-1.25,-2.6179938,18.0
6,6.5,-1.25,-2.6179938,7.0
7,7.5,-1.25,-2.6179938,7.0
8,8.5,-1.25,-2.6179938,0.0
9,9.5,-1.25,-2.6179938,0.0
10,0.5,-0.75,-2.6179938,689.0
11,1.5,-0.75,-2.6179938,1570.0
12,2.5,-0.75,-2.6179938,1760.0
13,3.5,-0.75,-2.6179938,1518.0
14,4.5,-0.75,-2.6179938,1146.0
15,5.5,-0.75,-2.6179938,824.0
16,6.5,-0.75,-2.6179938,565.0
17,7.5,-0.75,-2.6179938,355.0
18,8.5,-0.75,-2.6179938,200.0
19,9.5,-0.75,-2.6179938,113.0
20,0.5,-0.24999997,-2.6179938,3802.0
21,1.5,-0.24999997,-2.6179938,8369.0
22,2.5,-0.24999997,-2.6179938,10187.0
23,3.5,-0.24999997,-2.6179938,9920.0
24,4.5,-0.24999997,-2.6179938,8927.0
25,5.5,-0.24999997,-2.6179938,7549.0
26,6.5,-0.24999997,-2.6179938,6132.0
27,7.5,-0.24999997,-2.6179938,4931.0
28,8.5,-0.24999997,-2.6179938,3764.0
29,9.5,-0.24999997,-2.6179938,2854.0
30,0.5,0.25,-2.6179938,3875.0
31,1.5,0.25,-2.6179938,8338.0
32,2.5,0.25,-2.6179938,10112.0
33,3.5,0.25,-2.6179938,9990.0
34,4.5,0.25,-2.6179938,9060.0
35,5.5,0.25,-2.6179938,7586.0
36,6.5,0.25,-2.6179938,6223.0
37,7.5,0.25,-2.6179938,4969.0
38,8.5,0.25,-2.6179938,3711.0
39,9.5,0.25,-2.6179938,2850.0
40,0.5,0.75,-2.6179938,696.0
41,1.5,0.75,-2.6179938,1618.0
42,2.5,0.75,-2.6179938,1703.0
43,3.5,0.75,-2.6179938,1578.0
44,4.5,0.75,-2.6179938,1192.0
45,5.5,0.75,-2.6179938,800.0
46,6.5,0.75,-2.6179938,560.0
47,7.5,0.75,-2.6179938,325.0
48,8.5,0.75,-2.6179938,202.0
49,9.5,0.75,-2.6179938,123.0
50,0.5,1.25,-2.6179938,41.0
51,1.5,1.25,-2.6179938,98.0
52,2.5,1.25,-2.6179938,97.0
53,3.5,1.25,-2.6179938,60.0
54,4.5,1.25,-2.6179938,41.0
55,5.5,1.25,-2.6179938,20.0
56,6.5,1.25,-2.6179938,8.0
57,7.5,1.25,-2.6179938,1.0
58,8.5,1.25,-2.6179938,2.0
59,9.5,1.25,-2.6179938,0.0
60,0.5,-1.25,-1.5707963,34.0
61,1.5,-1.25,-1.5707963,116.0
