id,X_grid,Y_grid,N_count,V_mean,V_sigma,h1,h2,h3,h4,v0_cell,s_cell,nonempty
0,-7.8,-0.96666664,0.0,0.0,0.0,-0.11824646,-0.69721985,0.14414676,0.5952877,171.67085,5.0,False
1,-7.4,-0.96666664,0.0,0.0,0.0,0.0,-0.70710677,0.0,0.6123724,4.6337037,5.0,False
2,-7.0,-0.96666664,0.0,0.0,0.0,0.057186596,0.1128422,-0.41720754,-0.29804596,193.38382,10.547306,False
3,-6.6,-0.96666664,0.0,0.0,0.0,0.1274381,0.15740457,-0.07942706,-0.30023578,173.96638,34.648975,False
4,-6.2,-0.96666664,0.0,0.0,0.0,-0.005494499,0.34732696,-0.8927184,0.08063565,181.47505,14.630291,False
5,-5.8,-0.96666664,0.0,0.0,0.0,-0.2510056,-0.025427448,0.20042883,-0.18354112,169.94438,41.43427,False
6,-5.4,-0.96666664,0.0,0.0,0.0,0.07884251,-0.120800585,-0.25776064,-0.14850546,184.12524,21.777073,False
7,-5.0,-0.96666664,0.0,0.0,0.0,0.115442514,0.2520605,0.49983922,0.14322422,143.64218,19.751879,False
8,-4.6,-0.96666664,0.0,0.0,0.0,0.08574778,-0.041457117,-0.15823409,-0.15986453,137.97006,24.669004,False
9,-4.2,-0.96666664,0.0,0.0,0.0,-0.18573226,0.08658438,0.226262,-0.060475253,146.4624,30.96348,False
10,-3.8000002,-0.96666664,0.0,0.0,0.0,-0.088157445,-0.13251255,0.008456406,-0.108308285,129.19308,35.699585,False
11,-3.4,-0.96666664,0.0,0.0,0.0,0.15740044,0.07276999,0.0070471624,-0.28573516,111.66622,43.351685,False
12,-2.9999995,-0.96666664,0.0,0.0,0.0,-0.051922932,-0.10105752,-0.19911093,0.078218065,111.085175,48.185253,False
13,-2.5999997,-0.96666664,53.0,103.36742,48.54308,0.008088597,-0.11318279,0.10372899,-0.05785974,102.938965,52.968952,True
14,-2.1999998,-0.96666664,55.0,88.21777,50.01891,-0.022194019,-0.061806373,-0.06732588,-0.05100422,89.38015,52.373657,True
15,-1.8000001,-0.96666664,53.0,71.98666,59.457027,0.044168726,-0.033862002,-0.10642324,-0.17717859,69.29252,60.996456,True
16,-1.4,-0.96666664,85.0,55.95199,50.30775,0.05511298,0.0111834975,0.07166834,0.0078104674,53.19693,49.989372,True
17,-0.99999964,-0.96666664,73.0,45.017647,58.755127,-0.056429137,0.06279189,0.038554043,-0.06998186,48.199726,56.390705,True
18,-0.59999967,-0.96666664,100.0,31.534622,57.495384,0.00025069743,0.06693628,-0.13158503,-0.030541843,31.520838,54.95321,True
19,-0.19999993,-0.96666664,80.0,-10.200131,48.425907,0.07141653,-0.057971936,-0.09110539,0.016993051,-13.8197365,50.683033,True
20,0.20000029,-0.96666664,89.0,-3.8457804,58.801907,-0.049503267,0.07660746,0.30031013,0.23903005,-1.0777605,55.91594,True
21,0.6000004,-0.96666664,104.0,-19.091032,58.269882,-0.02382343,0.00085735123,0.028654173,-0.006309042,-17.703289,58.251102,True
22,1.0,-0.96666664,92.0,-50.677547,61.309406,-0.032667384,0.09628161,0.062511325,0.05130727,-48.797684,57.545437,True
23,1.4000001,-0.96666664,82.0,-74.28688,53.64059,-0.0187741,0.109186046,-0.15333766,0.21356924,-73.34944,49.93205,True
24,1.8000002,-0.96666664,79.0,-77.265144,53.973644,-0.11013087,0.062553175,0.06485031,-0.10262807,-71.53562,52.024548,True
25,2.2000003,-0.96666664,0.0,0.0,0.0,0.039132006,0.010410103,0.23246546,0.34170008,-86.04751,47.843437,False
26,2.6000004,-0.96666664,0.0,0.0,0.0,-0.0566437,-0.11315814,0.033721205,-0.038932227,-98.05374,47.22688,False
27,3.0,-0.96666664,0.0,0.0,0.0,-0.12615784,-0.03266482,-0.0036284646,-0.018732945,-108.78152,51.856293,False
28,3.4,-0.96666664,0.0,0.0,0.0,0.26759046,-0.007249848,-0.028090317,-0.05827526,-136.71758,41.374825,False
29,3.8000002,-0.96666664,0.0,0.0,0.0,-0.050627448,0.15812486,-0.036609426,-0.21695529,-138.2274,36.649918,False
30,4.2000003,-0.96666664,0.0,0.0,0.0,0.10393918,0.06878711,0.0047388626,-0.20121697,-157.97664,36.167374,False
31,4.6000004,-0.96666664,0.0,0.0,0.0,0.12843318,0.061863482,-0.10641906,-0.20433691,-153.72098,37.466957,False
32,5.0,-0.96666664,0.0,0.0,0.0,0.026106318,0.0850558,-0.4113147,-0.08071804,-167.36179,40.480118,False
33,5.4,-0.96666664,0.0,0.0,0.0,0.1897643,0.17130932,0.6609205,0.3363905,-181.79346,24.01803,False
