log_light_to_mass_ratio,log_Omega,log_prob,meff_data
1.0,1.1760913,-183463.17,70.874886
0.9310345,1.1760913,-215267.66,109.1156
0.86206895,1.1760913,-260753.8,72.05112
0.79310346,1.1760913,-317656.97,-25.191381
0.7241379,1.1760913,-387624.66,-15.282763
0.6551724,1.1760913,-468542.72,31.736103
0.5862069,1.1760913,-558602.25,132.26353
0.51724136,1.1760913,-657133.44,63.52046
0.44827586,1.1760913,-761047.25,-41.33857
0.37931034,1.1760913,-870529.0,58.02468
0.31034482,1.1760913,-987384.2,-35.27103
0.2413793,1.1760913,-1111233.8,14.21331
0.1724138,1.1760913,-1237207.2,-119.35613
0.10344828,1.1760913,-1363820.4,-67.87349
0.03448276,1.1760913,-1487220.4,-35.16872
-0.03448276,1.1760913,-1602154.5,9.179351
-0.10344828,1.1760913,-1707990.2,-157.54233
-0.1724138,1.1760913,-1798214.0,-53.556503
-0.2413793,1.1760913,-1882568.8,-19.387861
-0.31034482,1.1760913,-1955378.0,-82.42878
-0.37931034,1.1760913,-2027789.0,-129.38692
-0.44827586,1.1760913,-2096495.4,80.09546
-0.51724136,1.1760913,-2161872.5,43.040028
-0.5862069,1.1760913,-2221749.0,41.149746
-0.6551724,1.1760913,-2278252.8,9.365157
-0.7241379,1.1760913,-2332439.2,-14.993818
-0.79310346,1.1760913,-2385716.0,-19.866503
-0.86206895,1.1760913,-2436478.2,11.241709
-0.9310345,1.1760913,-2483726.8,20.057014
-1.0,1.1760913,-2527482.0,14.942318
1.0,1.2233437,-191089.36,38.566975
0.9310345,1.2233437,-221805.69,16.352587
0.86206895,1.2233437,-265276.16,40.852642
0.79310346,1.2233437,-319956.12,34.482506
0.7241379,1.2233437,-387695.84,112.26327
0.6551724,1.2233437,-467973.84,-21.680727
0.5862069,1.2233437,-558508.5,34.57337
0.51724136,1.2233437,-658919.6,-9.438553
0.44827586,1.2233437,-771014.6,17.431517
0.37931034,1.2233437,-889426.44,-112.07952
0.31034482,1.2233437,-1011228.0,-61.659424
0.2413793,1.2233437,-1135341.4,-143.96986
0.1724138,1.2233437,-1261721.5,-77.387566
0.10344828,1.2233437,-1383667.9,6.259092
0.03448276,1.2233437,-1495857.4,25.775303
-0.03448276,1.2233437,-1600462.8,-45.266296
-0.10344828,1.2233437,-1697805.1,36.800877
-0.1724138,1.2233437,-1785770.8,-139.34866
-0.2413793,1.2233437,-1869338.6,-62.31898
-0.31034482,1.2233437,-1949807.8,-44.588974
-0.37931034,1.2233437,-2025510.4,28.67697
-0.44827586,1.2233437,-2096396.2,19.136835
-0.51724136,1.2233437,-2163609.5,27.50221
-0.5862069,1.2233437,-2225740.2,64.93704
-0.6551724,1.2233437,-2282601.0,47.192852
-0.7241379,1.2233437,-2336403.0,23.627129
-0.79310346,1.2233437,-2389734.0,2.219741
-0.86206895,1.2233437,-2440782.2,20.359047
-0.9310345,1.2233437,-2489213.8,31.81563
-1.0,1.2233437,-2532609.2,4.4380445
1.0,1.2659558,-194443.53,73.372
0.9310345,1.2659558,-222790.7,43.123447
0.86206895,1.2659558,-264914.9,44.2823
0.79310346,1.2659558,-319903.97,5.7012124
0.7241379,1.2659558,-387760.34,104.37479
0.6551724,1.2659558,-467617.34,99.95868
