id,R_grid,z_grid,phi_grid,mass
0,0.5,-2.5,-2.6179938,5091167.0
1,1.5,-2.5,-2.6179938,11521971.0
2,2.5,-2.5,-2.6179938,13581456.0
3,3.5,-2.5,-2.6179938,13533468.0
4,4.5,-2.5,-2.6179938,12045840.0
5,5.5,-2.5,-2.6179938,10154313.0
6,6.5,-2.5,-2.6179938,7990804.5
7,7.5,-2.5,-2.6179938,6023050.5
8,8.5,-2.5,-2.6179938,4687217.5
9,9.5,-2.5,-2.6179938,3207464.0
10,0.5,-1.5,-2.6179938,26764656.0
11,1.5,-1.5,-2.6179938,62608656.0
12,2.5,-1.5,-2.6179938,80136660.0
13,3.5,-1.5,-2.6179938,83156660.0
14,4.5,-1.5,-2.6179938,79532660.0
15,5.5,-1.5,-2.6179938,70804660.0
16,6.5,-1.5,-2.6179938,61108656.0
17,7.5,-1.5,-2.6179938,49388656.0
18,8.5,-1.5,-2.6179938,40116656.0
19,9.5,-1.5,-2.6179938,31876656.0
20,0.5,-0.49999994,-2.6179938,95276660.0
21,1.5,-0.49999994,-2.6179938,226648660.0
22,2.5,-0.49999994,-2.6179938,285460640.0
23,3.5,-0.49999994,-2.6179938,297064640.0
24,4.5,-0.49999994,-2.6179938,284444640.0
25,5.5,-0.49999994,-2.6179938,255720660.0
26,6.5,-0.49999994,-2.6179938,219568660.0
27,7.5,-0.49999994,-2.6179938,183044660.0
28,8.5,-0.49999994,-2.6179938,148988660.0
29,9.5,-0.49999994,-2.6179938,120732660.0
30,0.5,0.5,-2.6179938,95800660.0
31,1.5,0.5,-2.6179938,227524660.0
32,2.5,0.5,-2.6179938,286816640.0
33,3.5,0.5,-2.6179938,296652640.0
34,4.5,0.5,-2.6179938,284088640.0
35,5.5,0.5,-2.6179938,253652660.0
36,6.5,0.5,-2.6179938,220112660.0
37,7.5,0.5,-2.6179938,182268660.0
38,8.5,0.5,-2.6179938,150164660.0
39,9.5,0.5,-2.6179938,120004660.0
40,0.5,1.5,-2.6179938,26636656.0
41,1.5,1.5,-2.6179938,62780656.0
42,2.5,1.5,-2.6179938,79608660.0
43,3.5,1.5,-2.6179938,83736660.0
44,4.5,1.5,-2.6179938,80000660.0
45,5.5,1.5,-2.6179938,70872660.0
46,6.5,1.5,-2.6179938,60396656.0
47,7.5,1.5,-2.6179938,49956656.0
48,8.5,1.5,-2.6179938,40496656.0
49,9.5,1.5,-2.6179938,31292656.0
50,0.5,2.5,-2.6179938,5155159.0
51,1.5,2.5,-2.6179938,11214048.0
52,2.5,2.5,-2.6179938,13797402.0
53,3.5,2.5,-2.6179938,13677432.0
54,4.5,2.5,-2.6179938,12017847.0
55,5.5,2.5,-2.6179938,9874383.0
56,6.5,2.5,-2.6179938,7982805.5
57,7.5,2.5,-2.6179938,6075044.0
58,8.5,2.5,-2.6179938,4571232.0
59,9.5,2.5,-2.6179938,3475413.8
60,0.5,-2.5,-1.5707963,4931187.0
61,1.5,-2.5,-1.5707963,11058087.0
62,2.5,-2.5,-1.5707963,13761411.0
63,3.5,-2.5,-1.5707963,13061586.0
64,4.5,-2.5,-1.5707963,12445740.0
65,5.5,-2.5,-1.5707963,9994353.0
66,6.5,-2.5,-1.5707963,7910814.5
67,7.5,-2.5,-1.5707963,6067045.0
68,8.5,-2.5,-1.5707963,4587230.0
69,9.5,-2.5,-1.5707963,3311444.5
70,0.5,-1.5,-1.5707963,26732656.0
71,1.5,-1.5,-1.5707963,62812656.0
72,2.5,-1.5,-1.5707963,80224660.0
73,3.5,-1.5,-1.5707963,83000660.0
74,4.5,-1.5,-1.5707963,80812660.0
75,5.5,-1.5,-1.5707963,71272660.0
76,6.5,-1.5,-1.5707963,60580656.0
77,7.5,-1.5,-1.5707963,49588656.0
78,8.5,-1.5,-1.5707963,40064656.0
79,9.5,-1.5,-1.5707963,31624656.0
80,0.5,-0.49999994,-1.5707963,95884660.0
81,1.5,-0.49999994,-1.5707963,227864660.0
82,2.5,-0.49999994,-1.5707963,285328640.0
83,3.5,-0.49999994,-1.5707963,296628640.0
84,4.5,-0.49999994,-1.5707963,283388640.0
85,5.5,-0.49999994,-1.5707963,252284660.0
86,6.5,-0.49999994,-1.5707963,220012660.0
87,7.5,-0.49999994,-1.5707963,182352660.0
88,8.5,-0.49999994,-1.5707963,150252660.0
89,9.5,-0.49999994,-1.5707963,120300660.0
90,0.5,0.5,-1.5707963,96728660.0
91,1.5,0.5,-1.5707963,227108660.0
92,2.5,0.5,-1.5707963,284104640.0
93,3.5,0.5,-1.5707963,298368640.0
94,4.5,0.5,-1.5707963,283464640.0
95,5.5,0.5,-1.5707963,253340660.0
96,6.5,0.5,-1.5707963,218740660.0
97,7.5,0.5,-1.5707963,182528660.0
98,8.5,0.5,-1.5707963,149936660.0
99,9.5,0.5,-1.5707963,120548660.0
100,0.5,1.5,-1.5707963,26900656.0
101,1.5,1.5,-1.5707963,63368656.0
102,2.5,1.5,-1.5707963,80008660.0
103,3.5,1.5,-1.5707963,83488660.0
104,4.5,1.5,-1.5707963,79856660.0
105,5.5,1.5,-1.5707963,71084660.0
106,6.5,1.5,-1.5707963,60976656.0
107,7.5,1.5,-1.5707963,49552656.0
108,8.5,1.5,-1.5707963,40224656.0
109,9.5,1.5,-1.5707963,31656656.0
110,0.5,2.5,-1.5707963,4975181.5
111,1.5,2.5,-1.5707963,11114073.0
112,2.5,2.5,-1.5707963,13625445.0
113,3.5,2.5,-1.5707963,13557462.0
114,4.5,2.5,-1.5707963,12517722.0
115,5.5,2.5,-1.5707963,9982356.0
116,6.5,2.5,-1.5707963,7922813.0
117,7.5,2.5,-1.5707963,6179031.0
118,8.5,2.5,-1.5707963,4483243.0
119,9.5,2.5,-1.5707963,3407426.5
120,0.5,-2.5,-0.52359873,5203153.0
121,1.5,-2.5,-0.52359873,11525970.0
122,2.5,-2.5,-0.52359873,13829394.0
123,3.5,-2.5,-0.52359873,13157562.0
124,4.5,-2.5,-0.52359873,12277782.0
125,5.5,-2.5,-0.52359873,10278282.0
126,6.5,-2.5,-0.52359873,7838823.5
127,7.5,-2.5,-0.52359873,6315014.0
128,8.5,-2.5,-0.52359873,4311264.5
129,9.5,-2.5,-0.52359873,3419424.2
130,0.5,-1.5,-0.52359873,26384656.0
131,1.5,-1.5,-0.52359873,62908656.0
132,2.5,-1.5,-0.52359873,80168660.0
133,3.5,-1.5,-0.52359873,83856660.0
134,4.5,-1.5,-0.52359873,79760660.0
135,5.5,-1.5,-0.52359873,70952660.0
136,6.5,-1.5,-0.52359873,59928656.0
137,7.5,-1.5,-0.52359873,49588656.0
138,8.5,-1.5,-0.52359873,40396656.0
139,9.5,-1.5,-0.52359873,31764656.0
140,0.5,-0.49999994,-0.52359873,96048660.0
141,1.5,-0.49999994,-0.52359873,229040660.0
142,2.5,-0.49999994,-0.52359873,285236640.0
